[2, 8, 5, 13, 8, 5, 1, 0]
[0, -1, 1, -16, -10, -3, 0, 1]
[-3, 0, -3, -11, -5, -4, -2, -1]
[0, -1, -3, 1, -4, -2, -3, 1]
[0, -1, 3, 5, 2, 1, 1, -1]
[1, -1, -1, -3, -5, 0, 1, 1]
[-1, 3, 3, -3, -3, 0, -1, 0]
[-1, -4, -6, 1, -3, -1, 0, 0]
[-2, 3, 18, 7, -2, -1, -2, 0]
[-1, 0, 13, 1, -6, -3, -2, -3]
[0, -4, 2, 1, -1, -1, 0, 0]
[0, -1, -10, -2, -5, -3, 2, 0]
[0, 0, 3, -11, 3, 2, 1, -3]
[-1, 1, 4, 9, -1, -2, -1, -1]
[2, -1, 1, 0, 5, 1, 1, 1]
[0, -2, -7, -3, 3, 1, 1, -1]
[-2, -1, 1, 3, 1, 2, -2, 1]
[0, -1, -15, -7, 1, 0, -2, 0]
[-1, -2, 0, -6, -8, -4, -1, -3]
[0, -1, -5, -3, -2, -1, 1, 1]
[-1, -2, -7, -1, -1, -2, 0, 2]
[0, -5, -13, -4, 1, 0, 2, -1]
[0, 1, -1, -2, -4, -4, 0, -1]
[0, 5, 1, 0, 0, 1, -1, 0]
[-1, -2, 1, 0, -1, -3, -1, -1]
[1, 0, 1, 0, -1, -1, 0, -1]
[-1, 0, 2, 4, -2, -3, -1, 3]
[-1, -1, -11, -8, 1, 1, 1, 1]
[0, 6, 6, 9, -1, 0, -1, 1]
[0, -2, -1, -6, 5, 0, 2, -2]
[-4, -5, -9, -3, -3, -1, -2, -3]
[1, 5, 4, 6, 4, 4, 0, -1]
[-3, -5, 17, -4, -3, -2, 0, -2]
[-1, 3, 0, 12, 5, 3, 1, 2]
[1, 3, -7, 3, -4, -5, 0, 0]
[-2, 2, 6, -7, -3, -1, -1, -1]
[-3, -6, -15, -4, -1, 0, -1, -2]
[0, 1, -3, 8, 0, 1, -3, 1]
[3, -3, -17, 2, 2, -2, -3, -1]
[-3, 0, 6, 1, 0, -1, -2, -2]
[3, 6, 25, 10, 1, 1, -2, 2]
[-1, -2, 1, -2, 3, -2, -3, -2]
[-2, -6, -15, -5, -5, 0, 1, -1]
[-1, 1, 7, 0, -2, -1, -1, 0]
[1, -1, -5, -3, 0, 0, 1, 0]
[1, 3, 4, 1, -2, -1, 0, -1]
[-1, 2, 8, 2, 5, 2, -1, 0]
[0, -2, 0, 0, -4, -5, 0, -2]
[-1, -1, -1, 0, 0, 2, 3, -1]
[-1, -4, -7, 6, -3, -4, -2, -2]
[1, -1, -3, -1, 1, 0, 2, -1]
[-1, 1, -1, -4, 0, 1, 1, -3]
[1, 0, -7, 2, 2, 0, 3, 1]
[0, 1, -1, -2, -3, -1, 0, 0]
[-2, -1, -2, -3, -1, -2, 0, -1]
[0, -4, -4, -1, 0, -1, 1, -1]
[-2, 0, 5, -1, -3, 1, -1, 0]
[-2, 1, 1, 6, 1, 0, -3, -7]
[-1, -2, -24, -8, -2, -3, -1, 5]
[2, -11, -71, -4, 5, 3, -3, -6]
[-3, -10, 57, 25, 6, -6, -3, 4]
[0, 33, 96, 20, -3, -8, -6, -25]
[1, 12, 55, -30, 1, 0, 4, 4]
[-4, -34, -128, -121, -11, 1, -5, -34]
[35, 31, 65, -17, 31, 21, 17, 36]
[-2, -18, 71, 18, 13, 6, 2, 64]
[-44, -62, -81, 5, -36, -24, -19, -77]
[-1, -22, -109, -77, -24, -19, -11, -48]
