[-6, -6, -36, 37, -65, -21, -7, -6]
[-4, -29, -16, -1, 27, 11, 1, -2]
[-1, -34, 28, -12, 1, -4, -1, -2]
[2, -24, -3, -32, 2, 1, -1, 3]
[2, 6, -69, -41, 13, 14, 5, 6]
[-3, 1, -6, -25, 3, -1, -5, -3]
[0, -1, 19, -4, -1, 1, 1, 0]
[-3, -2, 26, 1, 0, -1, 2, -1]
[1, 1, 14, -10, -6, -2, -2, -1]
[0, 6, 41, -45, -24, -3, -5, -1]
[3, -5, 29, -39, 9, 4, 0, 1]
[-2, -5, 7, -3, 1, 3, -1, -1]
[0, -9, 29, 37, 18, 1, -1, -1]
[-1, 3, 4, 39, -11, -2, -1, -2]
[-2, 8, -24, 55, 5, -4, 0, -2]
[2, -1, -18, -11, -4, -1, 0, 0]
[-3, -4, 3, -87, -21, -3, -4, -3]
[1, 2, 6, 26, 23, 4, 2, -3]
[-1, -1, 23, -43, -13, -6, -2, 0]
[0, 4, -3, 35, 3, -4, -6, 1]
[2, 3, -4, -37, -8, -2, 4, 2]
[0, -5, 21, -12, 9, 4, 0, 7]
[0, -7, 7, 9, 15, 6, 4, 2]
[-3, 6, -5, -19, 17, 2, 2, 5]
[-3, 10, -19, 19, 2, -6, 0, 9]
[-1, -2, -1, -23, -10, -3, 0, -3]
[2, 3, -7, -7, -4, -9, 0, 1]
[-2, -3, 11, 15, 21, -2, -4, -8]
[-2, 2, 2, 9, 4, 5, 0, 1]
[-2, -5, -5, -15, -11, -8, 0, 0]
[0, -12, -3, -9, -11, 0, 0, -2]
[1, 12, 4, 48, 10, 6, 5, 25]
[-14, 9, -5, -15, -30, -22, -22, -26]
[16, -7, -14, -29, 32, 3, 10, -15]
[-6, 4, -17, -108, -59, -23, -8, -5]
[1, 2, -4, 16, -38, -4, -3, 3]
[4, 4, 4, -32, -8, 6, 4, 1]
[-2, -2, -7, -11, 1, -5, -9, -2]
[5, 6, 13, 47, 8, 7, -8, 3]
[-2, -2, -7, -11, 1, -5, -9, -2]
[4, 3, -3, -12, -23, -8, -9, 3]
[0, 4, -2, -39, -12, -4, -8, -4]
[-1, -8, 0, 11, -3, -7, 1, -1]
[0, 6, 9, 34, -6, -3, -1, 2]
[-2, 7, -9, 47, -7, 0, -6, -6]
[-2, 9, -2, -67, 5, 10, 5, 4]
[1, 0, 0, -1, -9, 2, 1, 2]
[-1, 0, 3, 27, -25, -5, -2, -1]
[0, -1, -5, 4, -8, 0, -8, 1]
[-2, 11, -2, -8, -5, -6, -4, 1]
[0, 8, -3, -27, 4, -4, -2, -2]
[-1, 1, -3, -10, -5, 10, 7, 2]
[0, 4, 7, 37, 15, -1, 3, 2]
[0, 0, -5, 6, -19, -7, -2, -3]
[-1, -7, 0, -1, -13, -12, 2, -1]
[-1, -1, -5, -14, -14, -8, -1, -1]
[0, 2, 2, -22, -11, -11, -5, -3]
[-1, 6, -5, 8, 1, -2, -13, -5]
[1, -3, -1, 4, -20, -9, -2, -1]
[0, -1, -1, 10, -5, 1, -2, 0]
[-1, -1, -5, -3, -6, 2, -2, 0]
[-1, 2, -4, -10, -24, -10, 1, 1]
[0, -4, 1, 4, 30, 6, -1, 0]
[1, 4, -4, 7, 6, 0, 0, 1]
[-3, 4, -3, -6, -19, -2, -2, -4]
[-1, 1, -1, 13, 3, -1, 1, -1]
[0, 0, -8, 12, -16, 7, 1, -1]
[-3, -2, -23, -94, -47, -27, -12, -10]
[-4, 3, 8, 28, 11, -5, -1, 2]
[1, -6, -6, -49, 6, -5, 0, -2]
[-5, 5, -10, -9, -31, -27, -7, -6]
[8, 5, 12, -2, -5, -4, -4, -4]
[-3, -3, 0, -48, -26, -1, -6, -9]
[3, 0, 4, -37, 1, 3, -3, -1]
[3, 1, 2, 11, 9, 3, 1, 7]
[-5, -2, 1, -20, -28, 4, -1, -4]
[2, 2, 5, 24, 13, 3, -18, -4]
[1, 2, 4, 11, -23, -14, 7, 17]
[2, 1, 0, 29, 32, 15, 0, -12]
[-1, -2, 2, 3, 6, -3, -2, 15]
[-2, -3, 2, 12, 26, 4, 3, 2]
[1, 0, 0, -1, 7, 2, 4, 1]
[-2, 3, -2, -12, -7, -9, -10, -4]
[0, -5, 16, -16, -7, -1, 3, -2]
[0, 18, -9, 1, -3, 4, -2, -5]
[2, 7, 4, 26, -13, -2, 2, 3]
[-3, -6, -4, -19, -12, 6, -6, -4]
[0, -10, -12, -5, 10, -4, -2, -3]
[2, -15, 5, 55, 25, 11, 5, 2]
[-2, -4, -5, -13, -13, 1, -1, -4]
[-2, 5, -11, -103, 5, -7, -2, -5]
[2, -14, 6, -8, -1, -4, -2, 1]
[0, -2, 2, -2, 1, -2, -4, 1]
[1, 2, -1, -2, 9, 4, 1, -2]
[0, -9, 2, 14, -6, 1, 0, 1]
[0, -4, -10, -19, -27, -11, 0, -1]
[0, 2, 5, -7, 9, -2, -5, -7]
[0, 3, -6, 35, 18, 1, 4, 2]
[1, 3, 4, 39, 29, 4, 2, -1]
[0, 3, 0, 40, 79, 19, 1, 0]
[-2, -2, -5, -30, -33, -8, -4, -3]
[-1, 2, 1, -7, 6, -6, -1, -1]
[-2, -2, -2, 26, -9, -3, -2, -2]
[-2, 0, -3, 2, -2, 0, -5, -1]
[-2, -2, 2, 16, -3, 5, 2, 0]
[-1, 2, 1, -32, -14, -7, 1, 2]
[1, -7, -10, -7, 6, 3, 0, 1]
[17, -2, 13, 45, -2, 1, 2, 10]
[-3, -1, -2, -15, -12, -2, 7, -7]
[1, -14, 2, -35, -28, -13, -8, 2]
[-10, -7, -8, 80, 44, 3, -11, -27]
[-22, -6, 5, 5, 42, 9, 15, -8]
[1, 5, 1, -15, 6, -3, -3, -1]
[1, 2, -2, -7, 1, -2, -5, 2]
[-2, 4, 1, -4, -11, -1, -4, -7]
[-2, 4, 3, -14, -9, -9, -1, 1]
[-1, 0, -6, -12, 3, -9, 8, 0]
[0, 6, -6, -39, -17, -10, 0, -3]
[-2, -4, 5, 35, -3, -9, -34, -2]
[-2, 13, -1, 31, 0, -9, -17, -14]
[-1, -6, 4, 32, 18, 7, 3, 3]
[-1, -4, -3, -18, -3, -2, -8, 5]
[0, -3, -1, -21, 21, 0, -5, -2]
[0, -7, 2, -32, -12, -2, -1, 0]
