[-1, 1, -2, 11, 2, -2, 1, -9]
[-3, -25, 6, 6, 3, 3, 3, 1]
[1, 1, 34, -9, 8, 2, -6, -5]
[3, 5, -17, -14, -15, -6, -1, -1]
[1, -2, -15, -59, -21, -2, 2, 1]
[0, -3, 9, 20, 13, 3, -1, -2]
[2, 5, 16, 32, 45, 11, 3, 0]
[-1, -1, -3, -13, -93, -11, -4, -3]
[1, -3, -7, -9, -40, -7, -1, 1]
[1, 3, 29, 22, 18, 8, 6, 1]
[-1, 0, 8, 9, 9, 11, -7, -1]
[0, 2, 5, 16, -14, 0, 9, 3]
[6, 1, 3, 2, 8, 0, 6, 1]
[0, -1, 3, 7, 3, 1, -1, -1]
[-2, -5, 16, 11, 5, 1, 13, 0]
[-3, -2, -5, -6, 2, -2, -2, 0]
[-4, 2, 0, 0, 2, -3, -5, -2]
[-1, -1, 0, -3, -5, -1, -1, -1]
[1, 1, -2, -13, -9, 0, 9, 2]
[-2, -11, -6, -4, -1, 1, 7, 1]
[-3, -3, 1, 4, -3, -2, -3, 1]
[5, 3, -5, -15, -2, 2, 9, 3]
[1, 1, 3, -1, -6, -4, -6, -2]
[0, -2, 4, 11, 2, -1, 0, 0]
[-1, 2, -3, 2, -4, -1, 3, 1]
[0, -2, -2, -17, -10, 1, 12, 9]
[4, 8, 17, 7, 2, 0, -3, 0]
[4, -4, -5, -5, 7, 0, -2, -4]
[-5, -5, -9, -21, -2, 1, -1, -2]
[6, 1, -4, -17, -12, -3, -10, 0]
[1, 0, -1, -3, 6, 0, -3, -2]
[-1, -3, -2, -3, -8, 0, 19, 3]
[-1, 0, -12, -81, -45, -13, -7, -4]
[7, 17, 12, 8, 9, 14, 52, 18]
[-3, -2, 3, 18, -11, -13, 2, -5]
[-3, 7, 36, 72, 88, 24, 15, -7]
[0, -2, -8, -15, -35, -3, -19, 4]
[-4, -23, -18, 29, 6, 7, -32, 11]
[-3, -1, 0, 8, 6, -2, -4, -10]
[-6, 11, -3, -33, -4, -4, 2, 0]
[5, 19, 15, -113, -50, -12, 7, 12]
[-1, -6, -7, -9, -13, -10, -11, -8]
[-10, 12, 40, 24, 13, 3, -4, 1]
[5, 4, -5, 29, 14, 0, 18, -14]
[-4, -4, 7, 24, 22, 1, 1, 0]
[3, -1, 6, 30, -5, -4, 1, -2]
[-2, -15, -5, 8, 8, 3, 5, -1]
[-3, 1, 0, 4, 7, 0, -1, 2]
[3, -2, -4, -20, -5, -4, -1, 3]
[0, -7, -4, 2, -4, -1, 3, 1]
[-3, -3, -4, -9, 1, 3, 0, 2]
[0, 2, 12, 30, 10, 1, 2, -6]
[3, 0, -8, -14, -6, -4, -4, -3]
[0, -7, -4, -11, -11, -1, 12, 4]
[-4, -3, -1, 11, 5, -2, -10, -7]
[1, 3, 5, 3, -1, -2, 4, -1]
[-8, -4, -2, -9, -4, -4, 3, -3]
[-1, -1, 5, 23, 10, -2, -8, -2]
[-5, -14, -12, -9, -15, -1, 5, 6]
[-4, -13, -9, 7, -12, -5, -4, 1]
[9, 5, -1, -32, -1, 1, -11, 1]
[7, 11, 4, 8, 7, -5, -13, -8]
[-6, -2, -7, 0, -2, -2, -2, -5]
[-1, -5, -1, 39, 12, 5, 8, 3]
[0, 0, -2, 0, 1, -4, -7, -6]
[2, -5, 1, 0, -1, -3, -8, -3]
[-1, -7, -4, 21, -1, 1, 1, 2]
[3, -10, -3, -2, 1, 3, 0, 2]
[1, -2, 2, -13, -2, 0, 9, 4]
[-2, -3, -4, 22, 13, 3, -4, -4]
[-6, -4, 3, 1, 4, -1, 2, -4]
[3, 6, 1, 5, -2, 1, 13, 3]
[-3, 3, -1, -34, -10, -2, -4, 3]
[-3, 3, 1, 11, -4, 0, -11, -2]
[-1, 1, 0, 7, 4, -1, 0, 1]
[0, -3, -6, -25, -11, -4, -1, -4]
[-2, 6, 5, 11, 9, 2, 3, 1]
[-1, -4, -4, -15, -7, 0, -9, 2]
[-2, -3, 4, 9, 5, 3, 3, 1]
[0, 9, 3, -18, -12, -5, -10, 0]
[1, 2, -9, -33, -13, 0, 13, 3]
[1, 3, 4, 31, 19, 4, 0, -1]
[-6, -35, -23, -39, -26, -5, 3, -3]
[-5, -3, -3, -26, -15, 0, -10, -16]
[18, 17, 1, -20, -20, -2, -7, 18]
