[0, -4, 2, 24, 10, 0, -28, -4]
[0, 0, -1, -9, -3, -2, -10, -4]
[9, 0, -2, 0, 3, 10, 60, 14]
[-2, -2, -3, -9, -7, -5, -9, -5]
[0, -1, -1, -6, 0, -2, 1, 0]
[-9, 6, -1, -15, -4, 0, -25, -5]
[-3, -4, -6, -5, -6, 3, 33, 4]
[2, -4, -8, -22, -7, -3, -22, -3]
[0, 3, 3, -1, -3, -8, -38, -7]
[0, -1, -12, -20, -9, -2, -16, -2]
[1, 5, 15, 6, 5, -3, 16, -3]
[-6, 2, 8, 15, 6, -9, -99, -12]
[3, 3, 7, 50, 24, -2, -59, -9]
[-1, 2, -2, -3, 0, 1, 14, 5]
[4, -3, -10, -8, 0, 1, 20, 2]
[-3, -1, 0, 7, -5, 3, 25, 4]
[5, -2, -5, -6, -1, -3, -10, -1]
[3, -1, 1, -5, 3, 10, 70, 14]
[-5, -3, -7, -4, -8, -5, -21, -5]
[-1, -1, 3, -22, -12, -3, -9, -3]
[5, 3, 8, 2, -1, 2, 25, 6]
[-5, -1, -2, 4, 4, 3, 5, 2]
[-3, -1, -1, 18, 9, -3, -49, -8]
[-1, -1, -1, -13, -6, -2, -13, -5]
[-1, 0, -6, -1, -2, -3, -10, -4]
[4, 1, -1, -14, -3, -2, 0, -1]
[3, 0, -3, -21, -11, -2, 1, 3]
[1, 3, 7, 43, 23, 0, -35, -4]
[-2, 0, 6, -5, -5, 0, 6, 0]
[2, 1, 7, -12, -4, 0, 2, 1]
[-1, -2, -8, -4, 2, 3, -1, 2]
[-2, 0, 4, 5, -4, -1, 11, 2]
[-2, 0, -4, 3, 0, -3, -18, -3]
[7, -2, -6, -26, -10, -4, -4, 0]
[-2, -1, 4, -7, -4, -4, -24, -5]
[0, 0, -3, -21, -10, -2, 3, 0]
[0, 0, -6, -1, -4, 6, 56, 10]
[1, 1, -3, -3, -1, 1, -27, -1]
[-2, 1, -7, 4, 2, 2, 15, 2]
[0, -1, 5, 9, 0, -4, -3, -2]
[-1, 0, 1, -4, -2, -4, -20, -5]
[-4, -1, 2, 6, 1, 4, 25, 6]
[3, -1, -7, -14, 3, 3, 20, 4]
[0, -1, -3, -24, -6, -3, -13, -2]
[-3, -2, -4, 19, 9, -2, -36, -8]
[-3, 0, 4, 29, 12, -4, -17, -6]
[2, -1, 4, 49, 22, 3, -2, 0]
[0, -1, -1, -11, -6, 0, -1, -2]
[-2, 1, -2, -28, -8, -5, -13, -4]
[-1, -2, -1, 10, -1, 0, -4, -12]
[-6, -1, 0, 9, 2, -4, -8, -3]
[-3, -1, -7, -20, -9, 0, 2, 4]
[9, 4, 10, 12, 5, 8, 40, 12]
[-1, 4, 15, -1, -8, -9, -56, -12]
[1, -1, 4, -22, -2, -3, -29, -7]
[-5, -5, -4, 14, 8, 2, 11, 1]
[-4, -2, -2, -22, -11, -3, 3, 3]
[7, 1, 0, -4, -5, 0, -5, -1]
[-5, -2, -10, 4, -2, 1, 3, -9]
[2, -1, -3, 6, 5, 1, -13, 1]
[-1, -2, -7, -34, -10, -6, -36, -8]
[4, 0, 2, -3, 1, 2, 22, 4]
[-4, -4, -2, 10, -1, -3, -16, -4]
[-3, 2, -4, -1, 3, -1, -10, -4]
[0, 0, 4, 9, 2, 0, -9, -1]
[-1, -2, -9, 5, 9, 4, 4, 2]
[-1, -1, 1, -7, -2, -4, -5, -1]
[3, -1, 0, 2, 1, -1, -9, 0]
[0, -2, 2, 23, 8, 2, -8, -1]
[-4, -1, -5, -18, -12, -5, -16, -2]
[-3, 0, 4, -2, -4, -5, -15, -4]
[0, -2, -1, 8, 0, 1, 7, 0]
[-1, -2, -2, -11, -2, -2, 3, -1]
[0, -2, -5, -5, 6, 0, 3, -2]
[-3, -1, 3, 8, 0, 3, -11, -2]
[0, -2, -1, 15, 7, 1, 6, 1]
[0, -3, -8, -2, -1, -2, 1, -1]
[1, -1, 4, -10, -10, -3, -17, -2]
[-1, 1, 7, -2, -1, -2, -29, -5]
[2, 0, 0, 0, -1, 3, 41, 6]
[0, 0, -3, -10, -4, 1, 7, 3]
[-1, -2, -7, -9, -4, 3, 31, 6]
[-1, 0, -2, 8, 0, 2, -12, -3]
[7, 0, 1, -21, -16, -1, 11, -1]
[2, 3, 2, -1, 0, -6, -33, -6]
[-3, -2, 3, 19, 5, 0, 6, -1]
[-11, -3, -2, 30, 11, -1, 10, 1]
[-8, 0, 6, 16, 6, 4, 5, -1]
[-7, 0, -2, -28, 1, -6, -10, -2]
[2, -4, 2, -5, 9, 6, 7, 1]
[2, 3, 3, -18, -9, -5, -8, -1]
[-2, 1, 1, 33, 18, 10, 47, 1]
[0, 2, 29, -14, -9, 0, 1, 5]
[0, -3, -10, -15, -7, 0, 15, 7]
[-7, -3, -6, -5, -6, -4, -21, -11]
[-1, 0, -11, -3, 3, -5, -29, -9]
[-4, -1, 4, 70, 21, 2, -27, -7]
[-21, -7, -14, -14, -3, -1, 7, -2]
[1, -3, 2, -12, -8, -4, 15, -4]
[6, -1, -10, -9, -4, -5, -16, -2]
[5, 1, 3, 30, 15, 5, 6, 1]
[-6, -2, -1, -9, -6, -7, -29, -9]
[4, -3, -10, -18, -11, -5, -24, -1]
[7, 5, 11, 7, -6, 1, 28, 9]
[-5, 0, -4, -29, -15, 1, 10, 2]
[0, 1, 0, -3, -1, -1, 8, 0]
[3, 0, -13, -4, -3, -3, -18, -1]
[-3, -2, -3, -10, 1, -1, -8, -4]
[2, -1, 2, -1, 2, 0, 3, 3]
[-3, -2, -2, -6, -1, 1, 5, -1]
