[-3, 2, 12, 8, 9, 3, 11, -6]
[-20, -37, 22, -10, -10, -6, -1, -20]
[7, -30, -97, -22, -7, -5, -18, -7]
[7, 8, -56, 0, 4, 6, 4, 9]
[9, 14, 81, 11, 6, 7, 0, 9]
[-3, -5, -104, -10, 0, -4, 1, -5]
[-9, -28, 13, 1, -3, -3, -4, -16]
[11, -6, -44, -1, 1, 0, -3, -6]
[-3, -24, -72, 5, -8, -4, -1, 12]
[3, 7, -67, 12, -2, -4, 4, 20]
[-5, -43, -99, -25, -6, -2, 0, 19]
[8, 51, -48, -23, -1, -2, 3, 21]
[3, 15, 3, -5, 1, -2, 0, -5]
[6, 2, 25, 17, 0, -5, -14, 50]
[-10, -17, -24, 3, 2, -1, -15, 3]
[0, 14, 33, -7, 1, 0, 4, 17]
[-4, -14, 53, 17, -4, -4, 7, 21]
[0, -34, 93, 5, -5, -2, 27, -2]
[6, 17, 90, -5, 2, 6, -16, 12]
[-4, 28, -108, -22, -3, -1, -8, -16]
[3, -7, 48, 0, 2, 0, -29, 19]
[-5, 8, -47, 6, 5, 3, -1, -4]
[-2, -3, 2, 7, 4, 2, 21, -1]
[5, -2, 49, 1, 3, 3, -7, 9]
[-8, 55, -3, 4, 3, 5, -7, -11]
[5, 53, 15, 1, 1, 1, 16, 2]
[1, -7, 36, 3, -2, -1, 3, -12]
[5, -23, 4, 1, 1, -1, -22, 12]
[-4, -3, -8, -4, -5, 0, -7, 6]
[3, -6, -32, -9, -2, 3, 19, 10]
[2, 25, 58, 12, -3, -3, -20, 4]
[-2, -26, -97, -10, 3, 2, 22, -3]
[-11, -40, 32, 14, -2, -2, 4, 4]
[2, -59, -39, -12, 5, 2, -2, -13]
[1, 68, -58, -14, -4, -4, -35, -3]
[-5, -29, 20, -1, -2, -1, -28, 2]
[0, 15, -46, -2, -7, -3, 12, 25]
[1, -14, 20, 6, 1, 0, -3, 6]
[6, 26, 60, -2, 0, 1, 22, 11]
[-5, 14, 99, 23, 1, -2, 1, -36]
[-1, -20, 76, 32, 0, -1, 8, 14]
[-3, -2, -8, -7, -6, -3, -17, 11]
[-3, 36, 1, 8, 2, -2, 36, -14]
[10, -25, -37, 2, 6, 4, -26, 42]
[-2, 32, 12, 7, 2, -2, -15, -9]
[-9, -31, -47, -21, -6, 1, 14, 8]
[1, -5, 17, 2, -2, 0, 0, -2]
[-11, -36, 38, -7, -2, -2, -39, -20]
[-6, -53, -3, -2, -8, -5, -8, -4]
[-4, 19, -42, 8, -4, -1, -13, 35]
[6, -9, 82, -3, 2, -2, -1, 41]
[5, 84, 9, 13, -1, 0, 29, -8]
[3, 37, -2, -5, 2, 1, -38, -6]
[-6, -7, -51, 5, -3, -3, -8, -14]
[-12, -111, -51, -31, -6, -4, -9, -14]
[6, -3, 55, 23, 5, 2, 14, 1]
[-6, -54, -128, -16, -3, -1, 8, -5]
[5, 17, 7, 3, 5, 2, -11, -9]
[-2, 27, -37, -30, 2, 3, 19, -12]
[5, -30, 31, 11, 2, -1, 6, -5]
[-1, -2, 5, -3, -4, -4, -23, -7]
[1, -31, 21, -28, 2, 2, 11, 0]
[-4, -25, 92, 9, -2, 0, 14, 4]
[-3, -18, -114, -17, 0, -1, 16, -29]
[-1, -1, -20, 9, -5, -3, 13, 21]
[-6, -69, 73, -7, -3, -7, -24, 36]
[3, 17, -31, 0, 2, -3, -18, 12]
[-3, 5, -28, -8, -6, -2, 3, -7]
[9, 13, -10, -3, 2, -2, 37, 34]
[-13, 15, -19, 6, -8, -9, -53, -52]
[-3, -42, 57, -7, 1, 4, 8, 19]
[-3, 6, -128, -14, -4, 2, 20, -14]
[3, 4, 75, 12, 5, 4, 12, 2]
[-1, -17, 71, 18, 2, 3, 4, 15]
[3, 9, 26, -1, 0, 4, 39, 14]
[-5, 23, 12, 2, 1, -2, -12, -21]
[3, -3, -22, -11, 0, -4, -10, 40]
[-2, -60, 9, -5, -4, -3, -11, 10]
[-6, 37, 81, 14, -1, -1, -1, -31]
[-3, -3, 44, 2, -2, -2, 0, 24]
[1, 34, -62, 1, -2, -1, 23, -2]
[-13, 15, -72, -12, -4, -5, -14, -57]
[-2, -3, -5, 6, 1, 0, -28, -30]
[8, 12, -42, -28, -6, -3, -10, 24]
[-6, -65, -43, -7, -7, -4, -7, 8]
[5, 18, 112, 26, 2, 4, 11, -2]
[-6, -52, -45, -27, -4, -7, -8, -1]
[1, -9, 8, 1, 3, 2, 6, -7]
[1, -1, -28, 8, 0, 2, -11, 1]
[-7, -61, -97, -20, -3, -1, 23, 20]
[4, -9, 35, 7, 2, 1, -33, 0]
[-2, -8, 21, 0, -3, -4, -18, 15]
[-4, -11, 7, 17, -1, 2, -10, -4]
[-6, -7, -10, -15, -4, 0, 32, -2]
[-1, 18, 26, -5, 2, 2, -7, -6]
[2, 18, 79, 20, 1, 1, -38, -18]
[2, 11, 107, 14, -4, -3, -17, 18]
[0, 13, -7, -7, 3, -1, 27, -4]
[3, 29, 25, 13, 4, 4, 8, 2]
[0, 0, 33, -12, 2, 2, 24, 4]
[-2, -12, -90, -23, -8, 0, 5, -14]
[-6, -61, -94, -25, -5, -4, -12, -14]
[2, -17, 35, 19, 1, 1, -12, -7]
[2, -5, -128, -11, 6, 7, -7, -4]
[-14, 7, 55, 28, -7, -10, -42, -25]
[-2, -2, 9, 24, 2, -2, -20, -15]
[6, 22, 68, 32, -7, -6, -2, 13]
[12, -34, 38, 3, -8, -1, 22, 5]
[-1, -21, -99, -12, 1, -1, -49, 3]
[6, -51, 14, -5, 6, -2, -38, 4]
[10, -13, 102, 23, 15, 11, 52, 10]
[-5, -8, -39, 12, 1, 1, 6, -22]
[-7, 16, 53, 15, -6, -2, -16, 24]
[-8, 20, -74, -35, -1, 2, 79, -25]
[-7, -75, -24, -3, -1, -3, -12, 11]
[-8, -56, -29, 2, 1, 0, 21, 7]
[6, 54, -27, 8, 6, 2, -3, 3]
[-11, 31, -91, -9, -4, -1, -9, -4]
[2, 21, 46, -19, -10, -3, -19, 8]
[6, -28, 36, 10, 1, 0, -1, 12]
[-3, -26, 1, -6, -1, 2, -50, -10]
[-3, 11, 68, -3, -5, -5, 0, -19]
[8, 41, 50, -7, 7, -3, -33, 13]
[6, -7, -25, 28, 3, 3, 39, -1]
[7, 24, -59, -4, 5, 5, 30, 46]
[-5, -47, -27, -5, 1, 1, -13, -11]
[-6, 32, -22, -8, -5, -2, 35, 49]
[1, 14, 9, -5, 5, 1, -34, 0]
[-8, -54, -57, -13, -3, -2, 68, 27]
[-1, -55, 44, 4, 1, 4, 11, 1]
[5, 27, 17, 9, 0, -4, -22, 9]
[4, 6, -80, -17, 0, 3, 7, -10]
[-5, 9, -20, -15, -3, -6, -67, 5]
[-7, -20, 75, 3, -9, -7, 39, -19]
[15, 11, -24, -11, -2, -3, 25, 54]
[-3, -11, 16, 0, -5, -1, 75, -12]
[-9, -41, -99, -7, -4, -5, -49, -12]
[3, 10, -36, 2, 1, -4, 35, -4]
[-14, 0, 10, 4, -5, -5, -73, -28]
[2, 0, -71, -14, 2, 2, 33, 7]
[-1, -5, 8, -19, 1, 1, -10, 3]
[5, 51, 28, 10, 0, 1, -5, 3]
[-1, 59, 60, 6, -4, -2, -4, -5]
[6, 34, -31, -6, 0, 7, 9, 13]
[-4, -38, 73, -3, 0, -3, -34, 0]
[0, 44, 21, 11, 0, 2, 25, 12]
[-3, -10, -110, -31, -3, -8, -14, 7]
[-8, -41, 22, -21, 0, 2, 9, -18]
[-5, 83, 122, 23, -2, 4, 29, -6]
[2, -14, -16, -7, -2, -5, 82, 13]
[3, -41, -3, 10, -1, 0, 63, 5]
[0, -25, -14, 14, 2, -3, -51, 3]
[11, -14, 46, 14, 3, -1, -68, 13]
[8, 33, -33, -3, 7, 5, 4, 19]
[-1, -8, 41, 9, -4, 1, 71, 13]
[7, 30, -23, 12, 1, -2, 24, 7]
[0, 5, 1, -4, 6, 2, -18, 2]
[-2, 61, 35, 1, -4, -1, -19, 0]
[1, 58, 106, 11, 5, 3, 4, 2]
[-13, -27, -50, -13, -12, -11, -55, 6]
[-5, -34, -26, 9, 1, 0, -80, 0]
[-3, -1, -44, -13, 4, 7, 5, -7]
[-2, -60, 13, 0, 0, 0, -5, 2]
[10, 28, -34, -13, -2, 0, -67, 26]
[-6, -32, 32, -25, -4, -4, -30, -36]
[10, -13, 7, -15, -1, 1, 22, 12]
[-20, -61, -60, 2, -3, -2, -57, -48]
[-5, -38, 43, 3, 0, 1, 26, 12]
[10, 34, -56, -4, 0, -1, -16, 22]
[2, 61, 75, 3, -3, -1, 7, 19]
