[0, 2, 5, 31, 11, -2, 0, 0]
[0, 0, -3, -5, -1, -2, 0, 2]
[0, 1, 14, -3, -5, -1, 0, 0]
[0, 0, -6, -2, -5, -2, -3, 0]
[-1, -2, 1, 4, 1, -1, 0, -1]
[-1, -2, -4, -5, -4, -2, -1, -1]
[-2, 1, -1, 15, 3, 1, -1, -1]
[-1, -3, -6, -3, -2, 0, 0, 0]
[0, -2, 8, -3, -1, 1, 1, 1]
[-2, -7, 8, 5, -3, -2, -1, -2]
[0, -2, -9, -15, -8, -1, 0, -2]
[-1, -1, -13, -12, -9, -4, -2, -3]
[1, 5, 17, -3, -2, 2, -1, -1]
[0, 0, 2, -18, -7, 0, 1, 0]
[-2, -2, -5, 28, 19, 3, 0, -1]
[0, 7, -2, 2, -4, 0, 0, 0]
[0, -6, 6, -6, -7, -3, -2, 0]
[1, -1, -1, 21, 19, 1, 1, 0]
[1, -3, 0, 3, 6, 0, 1, 0]
[0, -2, 7, 13, 9, 0, 0, -1]
[0, 1, 10, -5, -6, 1, 0, 0]
[-2, -4, -5, 12, -1, -4, -4, -3]
[-2, -3, 7, 4, -2, 0, -1, 0]
[-1, -3, -10, -6, 3, 0, -1, 0]
[2, 2, 7, -11, 2, -1, 0, -2]
[-1, 0, 2, 4, 4, 2, 7, -1]
[-1, 1, -12, -2, -2, -1, -3, 2]
[1, 0, 5, 3, -1, -5, -2, 2]
[0, -1, -24, -3, 1, -4, -5, 1]
[12, 3, 2, 10, 5, 31, 9, 2]
[-1, 4, 26, 18, 10, 7, 6, 14]
[3, 2, -8, -21, 1, 5, 7, -9]
[-2, 1, -9, -9, -2, 8, -3, 11]
[5, -5, -37, 5, -3, -9, -12, -10]
[-1, 8, 32, -1, 0, -2, 3, 4]
[0, 0, 13, 38, 3, 3, 3, -2]
[1, -7, 34, -17, -4, 1, 7, 3]
[-1, -11, 34, 10, 0, 11, 3, 10]
[-4, -2, -36, -10, -12, -15, 0, 5]
[-7, 7, -35, -17, -8, -9, -15, -21]
[-7, 2, 50, 61, 9, -14, -15, -9]
[0, -18, -122, -93, -22, -2, -1, -2]
[10, -8, 16, 5, 5, -13, -4, 50]
[22, 5, 66, 57, 12, 6, -2, -1]
[26, -3, 15, 96, 26, 14, 17, -19]
[-1, 32, 27, 61, 13, 7, -2, -59]
[-4, 19, 104, -28, 15, 10, 8, -3]
[10, -3, -23, 20, 27, 21, 15, 3]
[-10, 52, 102, -31, -11, -3, -5, -1]
[-5, -33, 13, -62, -57, -15, -5, -3]
[-5, -39, 8, -42, -37, -8, -6, -6]
[9, 11, 51, 40, 20, 8, 2, 2]
[0, -25, -23, 2, 11, 3, -3, 3]
[2, 5, -20, -15, 1, 5, 4, -2]
[0, 3, 3, 13, 36, 11, 5, 2]
[-1, -3, 0, -28, -9, -3, -4, 0]
[-2, 3, -10, 21, 10, -3, -4, 0]
[-1, 5, 1, -2, 2, 0, 1, -2]
[-4, -18, 3, 38, 23, 4, 0, 0]
[-3, -14, -31, 9, 13, 6, 2, 1]
[0, 4, 1, -7, -8, -1, -2, -1]
[1, 32, 22, -13, -10, -1, -1, -1]
[2, -17, -17, -22, -10, -2, 0, 0]
[2, 3, -3, 1, -9, -4, -2, -4]
[-3, -14, -14, -15, -8, -4, -2, -1]
[2, 0, 0, 3, -1, 0, -1, -1]
[2, 27, 7, -1, -3, 0, -2, -1]
[1, 16, -18, -20, -21, -6, 0, 1]
[-4, -2, -2, -1, -2, -4, -6, -2]
[0, 1, 32, 7, 6, 2, 0, 0]
[2, 8, -10, -4, -1, -1, 1, 0]
