[7, 2, 24, 31, 28, 25, 20, 2]
[-1, -7, 57, 9, 7, 1, 0, -2]
[6, -1, 10, 14, 11, 11, 10, 2]
[4, 1, 31, 23, 8, 4, 5, 3]
[3, -1, -8, -4, 15, 18, 10, -1]
[-5, -1, -14, -18, -10, -11, -9, -3]
[-3, -4, -8, 6, -1, -5, -3, 0]
[-4, -9, 31, 10, -1, -3, -2, -5]
[-7, 2, -5, 11, 2, 2, -1, -2]
[4, -7, -1, -7, 12, 17, 20, 5]
[22, -5, -11, -46, -48, -7, 9, 5]
[-41, -17, 27, 19, 49, 34, -8, -5]
[40, 3, -26, -35, 1, -2, 31, 3]
[51, 3, 10, 30, 3, -2, -9, 2]
[-29, -22, 16, 34, 17, 21, 0, -1]
[8, 6, -2, -9, -3, -4, -6, 0]
[9, -4, -2, 18, 8, 4, 16, 6]
[-7, -9, -3, 5, 0, -4, -6, -5]
[-1, -2, -9, -20, -8, -5, 3, 1]
[0, -1, 8, 17, 6, 4, 5, -3]
[-21, -7, 2, -10, -10, -1, -4, 0]
[-7, -7, -31, -2, -10, -6, -11, -3]
[1, 4, -2, -4, 4, 6, 12, 0]
[-15, -7, -37, -5, -21, -19, -20, -6]
[11, 3, 13, 8, 12, 15, 12, 2]
[-6, -8, -26, -27, -24, -16, -15, -2]
[-8, -6, -11, -33, -7, -9, -10, -4]
[-7, -4, 4, 2, -13, -16, -14, -3]
[18, -5, -4, 4, 28, 31, 28, 6]
[-2, -5, -24, -13, -16, -9, -5, -1]
[-11, -10, -50, -16, -16, -13, -15, -6]
[-16, -12, -13, 24, -23, -29, -32, -1]
[-8, -2, -58, -35, -11, -10, -9, -2]
[2, -3, 13, 4, 4, 7, 9, 1]
[-9, -6, -2, -25, -23, -16, -15, -5]
[-11, 0, -18, -49, -22, -15, -13, -4]
[10, 1, -31, -27, 17, 28, 24, 2]
[-6, -4, -39, -20, -21, -19, -16, 0]
[-7, -1, -19, -26, -9, -8, -12, 0]
[-15, -3, -25, -1, -25, -21, -19, -1]
[5, -2, 31, 25, 10, 8, 8, 0]
[-5, -5, -31, -25, -9, -5, -7, -2]
[-6, -2, 49, 60, 3, -7, -9, -8]
[-11, 2, -28, -16, -26, -16, -15, -2]
[-2, -2, -7, -2, -4, -10, -8, 1]
[3, 5, 9, -26, -8, -1, 1, -2]
[-43, -18, -61, 18, 15, 1, -19, -6]
[-32, 0, 39, 90, 15, 37, 23, 2]
[101, 6, 20, -29, -8, 5, -2, 15]
[-57, 7, 25, 37, 34, 5, -65, -30]
[-15, 25, -21, 28, -12, 2, 1, -9]
[-25, -3, -10, -23, 11, 6, -8, -5]
[18, -2, -10, -17, -19, -4, 8, 4]
[-12, 1, -15, -41, -9, -4, -16, -8]
[-14, -2, -2, -18, -3, -6, -12, -5]
[-6, -8, 3, -22, -7, -4, -1, -4]
[-6, 5, -2, 8, 0, 3, 7, -1]
[-7, -1, 6, -29, -10, -10, -11, -2]
[1, 11, 1, 7, 2, 4, 4, 2]
[0, 4, -2, -11, 0, 2, 4, 0]
[5, 4, 12, -3, 7, 4, 6, 5]
[6, -2, 29, 12, 14, 9, 6, 0]
[3, -4, 56, 2, -1, 2, 8, 2]
[2, 4, -7, 9, 0, -3, 1, 0]
[1, -4, -23, -7, -7, -2, 4, 0]
[4, 0, -32, -7, 23, 23, 16, 4]
[-10, -1, -23, 9, -22, -16, -16, -3]
[6, 4, -43, 0, 5, 9, 13, 4]
[-3, 3, -34, -12, 2, 1, -4, -2]
[3, 2, 0, -7, 0, 1, 3, 4]
[-11, -6, 24, 23, -1, -8, -5, 1]
[-2, -4, 43, 6, -3, 0, -3, -3]
[7, 2, 8, -3, 11, 10, 7, 2]
[-3, 0, 17, -30, -2, 8, 5, -4]
[-2, -1, -11, 20, -2, 1, -4, -2]
[-2, 3, -2, 7, -11, -8, -6, 3]
[0, -5, 4, -13, -1, -1, 2, 1]
[-2, -2, 14, -19, 0, 0, -1, 0]
[-8, -5, 8, -1, 3, -2, -6, 2]
[-6, -3, -6, 10, -15, -15, -14, -2]
[0, 4, 10, -7, -5, -5, -5, 2]
[-3, -4, 35, 2, -7, -12, -11, -2]
[-2, -5, 4, 5, 5, 0, 0, -4]
[-12, -11, -18, 26, -14, -21, -21, -4]
[3, 0, 0, -17, 3, 7, 8, 1]
[-2, 1, -33, -4, 0, 3, 0, 0]
[6, 1, -11, -5, 2, 5, 9, 4]
[-14, -7, -28, -16, -20, -19, -28, -2]
[17, -2, -14, -35, -14, 4, 4, 3]
[-80, -11, -4, 4, 25, 8, -8, -16]
[78, 7, 2, -69, 6, 15, 114, 29]
[52, -5, 21, 33, 8, 8, 1, -6]
[9, 9, 2, -39, 0, -10, -27, 0]
[5, -3, 18, -29, -9, 1, 3, -4]
[4, 1, 12, 24, 3, -2, -8, 4]
[-4, 1, -1, 2, 1, 8, 6, 2]
[-5, -5, 5, 52, -5, 7, 4, 3]
[-3, -7, 2, 24, -7, 1, 4, 5]
[10, 0, 14, 13, -6, 6, -1, -2]
[8, -5, -16, -23, -1, 4, 20, 5]
[-8, -5, -1, 7, -10, -6, -3, -3]
[-3, 2, 2, 41, -4, 1, -1, -3]
[-10, -4, -24, -13, -5, -5, -8, -4]
[-4, 0, 4, -2, 0, -1, -5, -1]
[-5, 3, -6, 3, -3, -5, -7, 3]
[4, -2, 9, -31, -19, -21, -16, -1]
[4, 4, -18, 12, 4, 5, 7, 2]
[-2, -2, 6, 20, 7, -2, -2, -2]
[5, -2, -5, -17, -5, 4, -4, -4]
[-4, 2, 11, 0, -8, -5, -12, -4]
[-2, 2, 7, -13, -2, 0, -1, -4]
[6, -1, 40, 7, 9, 10, 9, 5]
[2, 0, 9, -7, -1, -1, -7, -1]
[6, -6, 37, -3, 4, 7, 7, -1]
[-4, -5, -23, -16, -11, -10, -13, 0]
[6, -13, -18, -21, -2, -3, 0, -4]
[-1, -13, -37, -12, -19, -12, -9, 1]
[-8, -6, -15, 14, -16, -9, -11, -1]
[-9, -4, 19, 12, -14, -11, -9, -3]
[3, 0, 3, 7, 6, 9, 8, 0]
[-15, 4, -52, 0, -31, -31, -27, -7]
[-1, 1, -21, -27, 4, -1, 2, -2]
[6, 2, 38, 27, 10, 13, 12, 3]
[-6, -8, -24, 8, -10, -7, -11, 0]
[3, 5, 13, 9, 5, 3, 3, 0]
[-8, -10, 19, -12, -21, -13, -9, -6]
[5, 4, 25, -72, 20, 5, 4, 1]
[6, 2, 13, 17, 16, 19, 18, 3]
[1, -2, 5, 30, 3, 9, 7, 0]
