[-63, 94, 20, 110, 19, -89, -108, -37]
[-43, -6, 14, -60, -72, -3, 55, -62]
[56, 20, -19, 87, 99, 4, -66, 87]
[-43, -13, 20, -91, -96, 1, 69, -77]
[63, 16, -33, 89, 111, 7, -73, 99]
[77, -104, -6, -102, 12, 107, 98, 53]
[27, 40, -12, 84, 60, -33, -76, 55]
[-35, -56, -2, -110, -90, 36, 98, -71]
[-128, 106, 29, 90, -75, -128, -81, -118]
[-40, -63, 9, -124, -98, 37, 102, -82]
[-128, 111, 20, 99, -61, -128, -92, -110]
[127, -120, -36, -103, 46, 127, 93, 113]
[50, 36, 0, 107, 101, -18, -86, 99]
[-59, -42, 14, -102, -104, 16, 90, -95]
[9, 17, -31, 100, 98, -14, -86, 98]
[-45, -54, 1, -102, -103, 9, 82, -98]
[51, 38, -2, 101, 97, -21, -88, 96]
[-43, -43, 22, -102, -90, 25, 95, -88]
[113, -46, -39, 3, 108, 68, -7, 127]
[-35, -36, 25, -105, -96, 33, 100, -84]
[49, 50, -13, 107, 93, -32, -95, 89]
[127, -85, -28, -88, 65, 122, 82, 112]
[44, 64, -25, 108, 89, -36, -98, 85]
[-28, -83, 22, -102, -91, 36, 100, -76]
[33, 65, -13, 112, 92, -41, -106, 77]
[24, 79, -7, 116, 87, -46, -113, 68]
[115, -97, -52, -67, 82, 121, 67, 122]
[-12, -81, 0, -118, -80, 51, 117, -50]
[5, -90, 2, -128, -72, 63, 124, -35]
[-9, 84, -10, 127, 69, -67, -123, 36]
[127, -82, -33, -43, 90, 106, 48, 127]
[-28, 83, 12, 127, 63, -76, -126, 23]
[25, -89, -11, -128, -55, 84, 127, -14]
[-124, 43, 57, 20, -105, -91, -29, -128]
[37, -103, -14, -128, -43, 101, 127, -10]
[120, -121, -29, -101, 49, 126, 100, 102]
[115, -59, -35, -10, 106, 74, 5, 127]
[-54, 115, 12, 127, 23, -113, -127, 3]
[56, -119, -23, -128, -30, 109, 125, 11]
[-114, 26, 32, -10, -116, -67, 10, -128]
[112, -44, -20, 14, 107, 63, -13, 127]
[-72, 121, 18, 127, 12, -121, -127, -21]
[103, -15, -48, 19, 121, 60, -22, 127]
[-77, 118, 25, 127, 5, -125, -127, -32]
[83, -110, -11, -128, -7, 121, 122, 42]
[-99, 17, 35, -34, -112, -52, 36, -118]
[92, -124, -15, -125, 0, 124, 125, 56]
[-89, 121, 34, 123, -6, -127, -122, -56]
[90, -10, -27, 54, 111, 39, -48, 119]
[-105, 116, 19, 119, -14, -127, -121, -68]
[102, -125, -25, -118, 14, 126, 120, 82]
[-102, 120, 14, 115, -16, -124, -119, -77]
[118, -115, -27, -114, 22, 124, 118, 91]
[-73, -19, 46, -65, -109, -22, 58, -100]
[121, -112, -24, -111, 35, 127, 114, 98]
[-114, 125, 15, 107, -39, -128, -113, -101]
[-117, 97, 23, 108, -39, -126, -108, -104]
[-126, 57, 34, 14, -109, -89, -24, -128]
[-60, -20, 28, -99, -106, 5, 79, -98]
[120, -123, -25, -101, 46, 127, 99, 104]
[-120, 112, 40, 99, -45, -126, -93, -103]
[49, 54, -6, 115, 99, -28, -99, 92]
[127, -98, -52, -84, 63, 124, 77, 124]
[-128, 104, 29, 70, -79, -122, -71, -120]
[127, -95, -44, -63, 86, 117, 62, 127]
[127, -83, -37, -43, 94, 104, 44, 127]
[31, -105, -12, -128, -51, 90, 127, -15]
[-121, 56, 39, 11, -112, -81, -11, -128]
[116, -41, -38, 8, 113, 71, -3, 127]
[96, -6, -51, 28, 111, 53, -28, 127]
[-90, 2, 33, -46, -115, -42, 40, -120]
[83, -6, -38, 59, 114, 30, -51, 120]
[-76, -34, 20, -70, -108, -18, 62, -103]
[65, 25, -22, 84, 108, 8, -71, 101]
[-63, -40, 28, -95, -106, -1, 78, -94]
[53, 35, -28, 97, 97, -16, -91, 97]
[35, 62, -11, 116, 94, -31, -104, 85]
[-26, -59, 9, -118, -86, 43, 109, -66]
[11, 69, 6, 122, 81, -51, -115, 65]
[-85, 13, 32, -56, -115, -35, 47, -111]
[-5, 87, 0, 127, 65, -70, -121, 41]
[-113, 116, 35, 114, -34, -128, -114, -91]
[-26, 104, 6, 127, 56, -88, -128, 17]
[39, -97, -9, -128, -48, 93, 127, -12]
[51, 54, -12, 98, 102, -16, -89, 97]
[-127, 117, 6, 89, -54, -127, -91, -109]
[-60, 117, 25, 127, 26, -116, -128, -7]
[-74, 119, 21, 127, 8, -120, -126, -24]
[83, -124, -34, -128, -3, 123, 125, 49]
[108, -122, -44, -123, 8, 127, 122, 78]
[-106, 114, 35, 119, -13, -128, -120, -82]
[110, -119, -33, -112, 21, 127, 115, 93]
[-122, 116, 35, 107, -42, -128, -108, -99]
[125, -113, -31, -103, 48, 127, 102, 105]
[-52, -42, 16, -110, -98, 21, 92, -79]
[127, -96, -35, -87, 62, 126, 87, 122]
[-128, 105, 37, 84, -67, -122, -80, -115]
[-128, 94, 25, 66, -82, -120, -66, -122]
[127, -91, -32, -63, 85, 116, 59, 127]
[-128, 88, 38, 55, -93, -113, -55, -128]
[127, -82, -22, -49, 102, 111, 51, 127]
[-126, 75, 21, 40, -91, -105, -48, -128]
[123, -81, -37, -32, 97, 100, 40, 127]
[38, -120, -8, -128, -50, 94, 127, -10]
[124, -72, -13, -17, 103, 89, 22, 127]
[52, -106, -19, -128, -35, 103, 127, 5]
[122, -51, -29, -12, 103, 76, 9, 127]
[-119, 47, 28, 1, -107, -73, -5, -128]
[52, 54, -6, 109, 96, -28, -92, 95]
[-98, 32, 41, -25, -111, -56, 27, -123]
[97, -21, -44, 30, 113, 54, -32, 127]
[-94, 12, 32, -42, -116, -53, 39, -116]
[-86, -9, 16, -54, -115, -37, 48, -109]
[78, 4, -43, 59, 110, 30, -53, 114]
[-73, -8, 32, -77, -112, -20, 63, -102]
[72, 14, -26, 82, 109, 13, -67, 104]
[-63, -41, -3, -97, -108, -8, 71, -96]
[56, 34, -22, 97, 106, -4, -78, 99]
[-63, -32, 14, -98, -102, 11, 83, -92]
[54, 52, -2, 102, 97, -23, -90, 97]
[-34, -46, 13, -103, -96, 26, 92, -83]
[35, 55, -13, 111, 93, -31, -98, 90]
[-35, -61, 9, -113, -95, 37, 101, -74]
[29, 59, -5, 115, 87, -41, -106, 78]
[-11, -59, 3, -118, -87, 44, 110, -61]
[15, 68, -16, 116, 81, -51, -117, 61]
[-12, -85, 8, -121, -79, 61, 121, -43]
[-5, 74, 8, 126, 73, -62, -120, 46]
[-1, -86, 9, -122, -72, 59, 121, -32]
[-13, 88, -3, 127, 68, -71, -123, 34]
[-29, 87, -1, 127, 57, -79, -126, 21]
[33, -96, 3, -128, -54, 84, 127, -12]
[122, -119, -20, -108, 39, 127, 109, 98]
[38, -114, -21, -128, -43, 95, 127, -10]
[-45, 90, 20, 127, 40, -99, -128, 10]
