[-2, -7, 6, -7, -3, -5, 0, -2]
[6, 10, 4, 33, 8, 2, 2, 3]
[-1, -7, 22, 3, 16, 11, 7, 4]
[6, 22, -44, -40, -17, -12, -4, -1]
[6, 19, 33, -28, -1, 0, -1, 2]
[-2, -10, 20, -18, 9, 6, 0, -1]
[-26, -45, -11, 4, -16, -17, -16, -15]
[3, 13, 80, 82, 14, 3, 0, -1]
[18, 61, 98, 33, -6, 5, 6, 6]
[15, 83, -81, -93, -30, -1, 5, 6]
[-10, -13, 62, 30, 5, -2, -6, -5]
[12, -6, -87, 18, -12, -2, 8, 12]
[6, -22, -128, -45, 10, 15, 10, 10]
[-15, -34, -98, 88, 49, 1, -8, -11]
[-1, -29, 25, 12, 2, 4, 1, -1]
[-3, -7, 61, 42, 33, 5, -1, -5]
[9, 24, -36, 13, 6, 4, 4, 3]
[-1, -16, -18, -2, 11, 2, 2, 3]
[8, 5, 19, -12, -3, 4, 6, 5]
[-8, -11, -12, 16, 15, 3, -3, -7]
[0, 0, 76, 26, 7, 7, 3, 2]
[-3, 11, 127, 94, 16, 2, -1, -4]
[10, 2, 52, 9, -4, 5, 6, 8]
[7, 9, -19, 1, -3, -1, 1, 4]
[-9, -24, 38, -43, -18, -8, -4, -4]
[-2, 1, -97, -53, -17, -7, -4, -3]
[-6, -7, -72, -48, -5, 1, -2, -5]
[-6, -5, -30, 8, -10, -6, -4, -5]
[0, -7, 56, 12, 3, 1, -1, 0]
[5, 12, -42, 5, 7, 7, 7, 1]
[-6, -8, -16, -5, 0, -7, -11, -4]
[4, 8, -39, -31, 2, -21, 4, 2]
[-4, -5, 4, 0, 2, 17, 35, -2]
[1, 3, -3, -10, -9, 6, 6, 2]
[-5, -8, 15, 1, -3, -4, -2, -4]
[-3, -2, -17, -8, 1, -10, -13, -2]
[1, -4, -6, 1, 3, 7, 2, 2]
[-1, 1, -16, 1, 1, 9, -2, -1]
[-4, -11, -20, 12, -1, -9, -7, -2]
[-5, -3, -6, 1, -4, -2, 2, -3]
[-4, -4, -6, 3, -8, -19, 3, -3]
[0, -1, 10, -9, -10, 73, 36, 8]
[1, 5, 7, 4, 5, 12, -1, 0]
[-2, -3, -13, -14, -4, -38, -26, -6]
[2, -2, 0, -1, -2, -3, -10, -2]
[2, 0, 0, -2, 1, -13, -3, 0]
[0, -3, 8, 2, 4, 34, 17, -1]
[0, -6, -10, -5, 5, 3, 19, 3]
[2, -1, -6, -2, -1, -23, -17, -2]
[-7, -2, 8, 0, -5, -5, 15, -1]
[4, 7, 8, 3, 10, 5, -12, 0]
[0, 3, 0, -1, -3, -27, -9, -1]
[-4, -3, 0, 4, -3, -9, -4, -2]
[-1, -3, -3, 0, 5, 9, -8, -1]
[0, 3, 1, 0, 3, 0, 1, 2]
[-1, 0, -3, 0, 3, -10, -5, 1]
[-1, 2, -1, 1, 0, 1, -5, -1]
[-2, -2, -2, 0, -5, -8, -3, -2]
[-3, -5, -5, -4, -5, -8, -7, -3]
[-2, -2, 0, 2, -1, 5, 0, 0]
[-3, 0, 2, -5, -4, -6, -2, -1]
[-1, 1, 1, 0, -1, 4, -3, 0]
[-1, -3, -1, 0, 0, 6, 3, -1]
[0, 1, -1, 2, 0, -2, 3, -2]
[0, -1, 3, 1, -1, 0, -1, 0]
[2, 1, -1, 2, 1, -1, -2, 1]
[-3, -2, -1, -1, 1, -4, -3, -2]
[0, 0, 0, -3, -4, -1, -2, 0]
[0, 3, 2, 1, -5, -5, -2, -1]
[0, 0, 0, 0, -3, -6, 0, 0]
[0, -2, -6, -8, 0, 2, -1, 0]
[0, 1, -4, 5, -1, -3, -1, -1]
[-7, -13, -14, -21, -12, -3, -1, -5]
[1, -1, 6, 1, 2, -1, -3, -1]
[1, 5, 47, 9, -2, -1, -4, -1]
[-2, 0, -41, -26, -5, -1, -1, 0]
[3, 11, 102, 27, 5, 5, 2, 2]
[1, 4, 18, 8, 2, -2, -1, -1]
[-1, 3, 84, -7, 1, 7, 0, 1]
[0, -1, -30, -14, 5, 3, 0, 1]
[1, 2, 125, 25, 7, 1, 0, 1]
[1, 8, 48, -18, 7, -3, -1, -2]
[4, 13, 78, 40, 10, 2, 0, 1]
[-3, 8, 14, 85, 2, -5, -3, -3]
[-10, -29, -97, -12, -25, -15, -9, -9]
[5, -5, 25, 5, 8, 1, 1, 4]
[7, 26, -7, 33, 11, 6, 3, 6]
[-17, -26, -60, -76, -26, -18, -12, -11]
[-10, -35, -128, -3, -13, -5, -5, 0]
[-3, 8, -107, 3, -14, -20, -11, -3]
[7, 30, 84, 108, 14, 7, 6, 0]
[-20, -20, 13, 24, -3, -14, -12, -15]
[11, 52, 91, -49, -10, 7, 10, -6]
[-19, 0, 18, -20, -4, 0, -2, -11]
[13, 11, -125, -101, -9, 6, 7, 10]
[-4, -4, 12, -64, -9, 3, 1, 0]
[-5, -33, -70, -25, 10, -5, -3, -1]
[4, 14, 17, -12, -2, 2, 0, 4]
[-12, -25, 84, 54, -12, -10, -10, -6]
[5, 4, -38, -11, 9, 6, 3, 7]
[-20, -39, -70, 11, -22, -16, -9, -13]
[-3, 0, -36, 10, -1, -1, -4, 1]
[11, 27, 23, -12, 11, 6, 3, 5]
[-7, -4, -25, -11, -1, -1, 0, -5]
[4, -6, -24, -10, -2, -2, 0, 2]
[0, -2, 45, -30, -6, -2, 2, 0]
[-5, -30, -52, -33, 0, 2, 0, 0]
[-1, -1, -33, 40, -1, -1, -2, -1]
[-1, 10, -1, 33, 0, -5, -2, 0]
[-1, -11, -24, 1, -10, 2, 2, 1]
[-1, 3, 78, 2, 2, -3, -3, -1]
[-2, -1, 29, 8, -2, -3, -4, 0]
[-1, -4, 1, -6, -4, 1, 0, 0]
[-3, -5, 0, 14, -5, -8, -2, -2]
[0, -2, -3, -3, 1, -12, -6, 0]
[-1, -1, 3, -4, 1, 11, 27, 2]
[1, 0, -6, -10, -5, -10, -17, -1]
[-1, 0, 3, 7, 0, -11, -2, -1]
[-1, -2, -4, -2, 0, 7, 6, 0]
[-1, 1, 4, -1, -3, -6, -3, -4]
[1, -2, 2, 1, -8, -4, -5, -2]
[0, -2, -2, 1, 8, 8, 1, 0]
[-3, 1, -12, -6, -5, -7, -3, -1]
[-1, 0, 13, -2, -2, 3, -2, -3]
[2, 1, -4, -3, 2, 48, 25, 0]
[-2, -5, -5, 2, 1, 9, 11, 1]
[-2, -6, -1, 0, 1, -11, -12, -1]
[0, -2, -4, 0, -2, 20, 2, 0]
[-1, -1, -1, 0, 0, 13, 6, 0]
[1, 1, 0, 1, -2, -10, 6, -3]
[-1, 2, 1, -1, -3, -6, -5, 0]
[3, 0, 0, -2, -3, 5, -3, 0]
[-1, -1, -1, 1, 4, 1, 3, 1]
[-2, 0, -2, 1, -5, 0, -1, 0]
[-3, -2, -1, -3, -4, -11, -1, -2]
[0, 0, -2, -1, -2, 7, 5, 1]
[0, 1, 0, 0, 1, 2, -1, 0]
[0, -3, -1, 2, 2, 2, -1, -1]
[0, -1, 1, 1, -2, 5, -4, -2]
[1, 1, 3, 0, -3, -8, 1, -1]
[1, -1, 1, 0, -1, 16, 4, 1]
