[0, -1, -4, -4, -6, -12, -6, 0]
[-1, -1, 4, -7, 2, 8, 10, 0]
[0, -8, -9, -15, -3, -1, -2, 2]
[1, 6, 20, 7, -1, -1, 6, 3]
[0, -5, -15, -8, -3, 8, -1, 6]
[-5, 0, 25, 10, -4, 0, 6, -14]
[-1, -4, 0, -5, 3, 5, -3, -5]
[9, 9, 13, 9, 3, 23, 37, 18]
[-7, -4, 1, -4, -3, 8, -19, -18]
[-2, 4, -14, 15, 0, 1, 29, 4]
[2, 6, -10, -16, -6, -18, -17, -12]
[-2, -5, -23, -11, -2, 1, 6, 12]
[-3, -3, 10, -5, -3, -17, -2, -4]
[1, -1, -30, -20, 0, 2, 4, 1]
[1, 1, -19, 24, -3, -13, 3, 10]
[-4, -3, 11, -7, -1, -2, -4, -11]
[-2, 0, 4, -2, -5, 10, 1, 2]
[-4, -3, -6, -1, -4, -9, 7, 4]
[-2, 2, -10, -15, -5, -1, -15, 2]
[2, 0, -11, 5, 2, 10, 8, 16]
[2, 6, 17, 22, 2, 6, 7, 5]
[-2, -2, 9, -4, -6, -4, -6, -4]
[0, 5, 4, 12, -6, -9, -8, -2]
[-2, -1, 5, 5, -1, -14, 0, 2]
[0, 3, 5, -12, 4, -5, 1, -1]
[-2, -2, -2, -1, -1, -18, -18, -12]
[1, 1, 1, 0, -12, -7, 1, -2]
[2, -6, 4, 84, 27, 14, 8, -5]
[6, 36, 3, 7, 34, 12, -1, 5]
[9, 6, 0, 6, -2, -4, 21, 7]
[4, -22, 9, -24, 13, 10, 16, -1]
[0, -5, 4, -40, -34, 4, -10, 0]
[-8, -16, -17, -82, -7, 0, 2, -5]
[1, 8, 16, 45, -9, -3, -4, 12]
[-5, -1, 3, 19, 7, 3, 15, -4]
[2, 4, 9, 39, -12, 1, 13, 6]
[1, 8, 0, -6, -1, -3, -4, 3]
[0, 2, -7, 20, 0, 0, 6, 5]
[3, 5, 5, -59, -3, 4, -7, 0]
[-2, -5, -2, -17, -9, -8, -15, -14]
[-1, -2, -9, -1, -8, 0, -7, -34]
[3, 3, -4, 28, -13, 5, 6, 7]
[-2, -3, -1, 2, -3, 13, 5, 8]
[-2, 3, 7, 41, 3, -9, 0, 5]
[-1, -2, 2, 10, -1, -8, -13, -16]
[-1, -1, -3, 0, 2, 6, 2, 0]
[4, 4, -7, -5, -1, -3, 3, 2]
[-3, 1, 3, 18, 2, -2, 3, -5]
[2, 0, -1, -20, -27, -22, -8, 2]
[1, -1, -2, -5, 3, -4, -16, -5]
[0, -1, -2, -27, -17, -8, 1, -5]
[-3, -4, -1, 26, 4, 3, -6, -11]
[-1, 2, 5, -2, 7, -4, 11, 11]
[-1, -1, -3, -6, 0, 1, 2, 2]
[1, 1, 2, -1, -4, -9, -7, 3]
[-2, -5, -5, -36, -5, -13, 5, 4]
[-2, -1, 8, 4, 3, -10, -9, -4]
[-1, -4, -4, -22, -13, -8, -16, -16]
[-1, 2, -2, -13, -3, -4, 11, -10]
[2, 1, 2, 4, 13, 6, 11, 12]
[-2, -4, -2, 17, 2, 5, -4, -5]
[-1, -2, 4, 10, 8, 3, 2, 11]
[-2, -1, 0, -22, -7, 1, -11, -4]
[0, 1, 1, 45, 1, 3, 2, 1]
[1, 1, 0, -12, -9, -8, -14, -2]
[-1, -1, 1, 4, -2, 4, 3, 9]
[0, 1, 0, -2, 11, 0, 5, 4]
[-1, 0, 2, 6, 1, -8, 1, 5]
[-1, -1, -2, -1, 1, 9, 7, 1]
[0, -2, -2, -8, -2, -5, -5, -5]
[-3, -1, 13, 19, -2, 1, -4, -6]
[3, -2, -31, -43, -8, 29, 10, -2]
[2, 5, 3, 13, 3, -15, -4, -3]
[-2, 1, 13, 2, 2, 56, 0, 11]
[-2, -4, 33, -10, -2, -6, -12, -3]
[-4, -5, -17, -25, 19, -13, -7, 4]
[1, 3, 4, 28, -17, -17, 3, -4]
[0, 5, 2, -9, -1, 46, 26, 17]
[-6, -5, -5, 6, -7, -20, 14, -13]
[2, 4, -2, 12, 0, -23, -10, 3]
[1, -2, 0, -33, 14, 3, -2, 8]
[0, -1, -3, 4, -4, -9, -4, -3]
[-3, -6, -11, -1, -9, -11, -5, -7]
[1, -4, -19, 36, 1, 17, 1, -2]
[-1, -6, -1, -13, -2, -20, -1, -5]
