[4, -72, 0, -3, 6, -1, -2, -22]
[-1, -83, -2, -5, -3, -3, -1, -24]
[-1, -11, 5, 6, 6, -2, -1, -23]
[-2, 109, 7, 1, -4, 0, 1, -22]
[0, -26, 0, 2, -1, 0, -1, -22]
[-1, 7, 4, 6, 1, 0, 0, -22]
[0, 65, -5, -2, -3, -1, 1, -21]
[-1, -34, 2, 6, 3, -1, -2, -24]
[1, -95, -1, -3, 0, -1, -2, -22]
[-1, 23, -2, 3, 1, -2, -1, -23]
[-1, 29, 3, 4, -7, -4, -2, -23]
[-2, 69, -7, 0, -1, -2, -2, -23]
[-1, -55, -4, -2, -3, 0, -1, -23]
[0, -54, 0, -4, -4, -2, 0, -23]
[-1, -21, 5, -2, 1, -1, 0, -23]
[1, 7, 4, 1, 5, 0, 2, -23]
[0, 63, -1, -10, -2, 0, -2, -22]
[-2, 35, 1, 3, 28, 4, -1, -22]
[-2, 62, -6, -2, -16, -3, -1, -22]
[-1, 0, -4, -3, -6, -3, -1, -23]
[-1, -47, -4, 1, 1, 2, 0, -23]
[-2, -43, -10, -3, -10, -2, -3, -23]
[2, -71, 6, 4, 2, 1, -1, -23]
[-2, -8, 2, 3, 0, -1, 0, -23]
[1, 32, -2, 3, 8, 0, 0, -24]
[-1, 124, -4, 0, 4, 2, 1, -22]
[-1, -23, 1, 2, 2, -3, -2, -24]
[0, 18, 1, -3, -1, -2, -3, -22]
[2, 2, 0, -10, -8, -1, 0, -22]
[-2, -77, -7, 2, -2, -2, -2, -24]
[0, 72, -14, 5, 11, 2, 0, -22]
[-1, -70, 0, 0, -4, -2, -1, -23]
[-2, 21, -3, -3, -8, 0, -1, -23]
[0, 30, 3, -3, 2, -2, -3, -24]
[-1, -31, 7, 4, 0, 0, 1, -24]
[1, -66, 1, 2, 3, -1, -1, -22]
[0, 21, 3, 0, 1, -1, 0, -22]
[1, 38, -3, -6, -3, -4, -1, -21]
[0, -15, 6, 0, -3, -1, -1, -23]
[-2, 37, 0, -5, -6, 0, 0, -24]
[-2, 60, -7, -4, -3, 1, 0, -23]
[-2, 76, 4, -2, -3, -1, -1, -21]
[-1, -27, -3, 8, 5, -1, 0, -23]
[0, -23, 14, -1, -3, -1, -1, -22]
[1, -68, 7, -4, -2, -2, -2, -22]
[-4, 58, -9, -2, 4, -4, -1, -22]
[-2, 47, -5, -1, -4, -3, -1, -24]
[-1, 18, 8, 4, -3, -1, 1, -22]
[1, -21, -6, -4, -1, 1, 0, -24]
[-2, -30, 8, -4, -2, -1, -2, -20]
[-2, -69, -13, -6, -4, -1, -1, -23]
[-2, 66, 0, 3, 7, 3, -1, -22]
[-2, 86, -11, 4, 0, 2, 2, -22]
[-3, 34, -6, -9, 5, 0, -1, -23]
[0, -56, -45, -2, 1, -2, 0, -24]
[0, -54, 11, -1, 5, 2, -1, -24]
[-2, 21, 13, 14, 14, 1, 0, -23]
[0, -42, 5, -3, 2, 0, -2, -23]
[0, 17, -5, -1, 0, 0, -1, -23]
[-1, -1, 12, -6, -11, -2, -1, -22]
[-1, 64, -3, -4, -1, 0, 0, -22]
[-1, -15, 0, 0, -5, -3, -1, -24]
[0, -29, 2, -6, 5, 0, -2, -23]
[1, -25, 14, 5, 5, -1, -1, -23]
[-1, 60, 10, 0, -7, -5, -3, -23]
[-2, 31, -4, -4, -6, -2, 0, -22]
[1, 7, 4, 1, 6, 0, -2, -21]
[1, -41, 8, -2, -4, -1, -1, -23]
[-1, 81, -3, 6, -6, -1, -2, -23]
[-2, 48, -20, -4, 0, -2, -2, -22]
[-1, -35, -4, -1, 5, 1, -1, -23]
[-2, -3, -6, 3, -2, -3, 1, -24]
[0, -23, -7, 6, -3, -1, -2, -24]
[0, 14, 3, -1, -5, -1, 1, -24]
[-1, 9, 2, -7, -6, -1, -1, -23]
[0, -43, -3, -4, -6, -4, -2, -25]
[-3, -51, 10, -1, 5, 0, 1, -23]
[-2, 0, -5, -6, -5, -1, 1, -23]
[0, 10, -3, 4, 16, 3, 2, -23]
[1, -59, -1, -6, -7, -1, -2, -23]
[0, -112, 9, -1, 0, -3, 0, -22]
[-1, 84, 5, 0, 3, 1, -2, -22]
[-6, -16, 2, -1, 2, 4, 1, -25]
[0, -16, 9, -7, 4, 0, -1, -22]
[-1, -17, 2, -3, -5, -3, -1, -22]
[1, -33, 13, 0, -7, -3, 0, -23]
[-3, 58, -9, 11, -2, 0, 1, -22]
[1, -14, -20, 2, 7, 1, 0, -23]
[-2, 32, 2, -4, -4, 1, -2, -22]
[0, -47, 5, 3, 2, 0, -2, -24]
[-2, 10, -27, 0, -1, -1, -1, -22]
[-2, 27, 6, -3, -2, -2, 0, -23]
[0, -58, 2, -1, -2, -3, -1, -23]
[2, 39, 1, -2, -9, -2, 0, -22]
[-1, -66, 6, -4, 6, 1, -1, -23]
[-3, 102, -13, 5, 0, 2, -1, -23]
[-2, 71, -17, 3, 1, -2, -1, -24]
[-2, 33, 0, -9, -4, -1, 0, -22]
[-3, 25, -7, -2, -10, 0, 0, -23]
[-1, -45, 1, 3, 0, -1, -3, -23]
[-2, 38, -1, 1, -1, -3, -1, -22]
[-1, 92, 5, 4, 0, 0, -1, -22]
[0, 44, -1, 3, 0, 3, 2, -22]
[-4, 36, -3, -4, -4, 1, 0, -22]
[0, 111, 10, 6, 10, 6, 2, -22]
