[-74, -12, -41, -25, -3, -1, 1, -1]
[10, 4, 23, 21, -13, -10, -6, 1]
[6, -1, 3, 18, 46, 27, 6, 4]
[16, 5, -3, 37, -6, 6, 1, 2]
[-5, -12, -46, -33, -27, -9, -3, 15]
[7, -1, 10, -1, -1, 2, 0, 2]
[-6, 0, 17, 10, -5, -19, -1, 2]
[0, 1, 2, -1, -13, -7, -2, 1]
[-1, 0, -6, 3, 24, 2, 0, -1]
[-3, 1, -1, 14, 53, 17, 0, 1]
[2, 1, 0, 25, 33, 3, -1, -3]
[1, -1, 4, -2, -21, -9, -1, -2]
[-3, -2, 0, -6, -5, -3, -3, -3]
[-3, -7, -1, -3, -39, -15, -2, -1]
[0, 3, 1, 19, -3, -9, -3, -1]
[-2, -1, 0, -5, -37, 8, 2, 1]
[-1, 1, 0, 0, -7, -4, 0, -2]
[-2, 2, -2, -11, 14, 7, 0, -4]
[1, -1, -1, 4, 14, 4, 0, 2]
[-2, 3, 2, -6, 0, -8, -3, -2]
[0, -6, -4, -5, -5, 6, 2, 1]
[-1, 1, -1, -10, -5, -12, -4, 1]
[2, 0, -2, 0, 5, -2, 0, 0]
[-1, 0, -1, 6, 13, 8, 1, -1]
[-4, -9, -1, 12, 59, 8, -2, -2]
[-2, 1, 1, 5, -7, -3, 0, 0]
[2, 2, -1, -1, 2, 2, 2, -1]
[-1, -3, 0, 2, -4, -3, -1, -3]
[0, 2, 0, -11, 1, 6, 0, 1]
[1, -1, 0, -5, -7, 0, -2, -1]
[-1, 1, 0, -4, -28, -2, 0, 0]
[-3, 0, 0, 11, 4, 3, 0, -1]
[-1, 1, 0, -3, -2, -5, -2, -1]
[0, 1, -1, 4, -11, 0, -2, 0]
[-2, -1, 0, -3, -1, -4, 1, -2]
[0, -1, 0, -7, -14, -4, 0, -1]
[-1, 1, 2, -4, -15, -1, 0, 0]
[-2, -2, -7, -10, 13, 18, 3, 0]
[-6, 2, -3, 1, 7, 4, 1, 0]
[8, 0, -3, 3, 5, 1, 0, 1]
[-17, 5, 2, -34, 1, 4, 4, -8]
[-11, -7, -59, 23, 20, 3, -2, 49]
[20, 4, 58, 22, -4, -10, 5, 1]
[53, -9, 47, 26, -9, -7, -10, 89]
[-87, -31, 14, 52, -13, -14, -78, -10]
[99, 22, 45, 76, 17, 0, -18, -25]
[-25, 17, 48, 20, -2, -7, -20, -46]
[41, -7, -58, -91, -9, 2, 29, 0]
[42, -5, -50, -55, 2, 10, 61, 38]
[-5, 9, -35, -85, -4, -8, 3, -13]
[-17, 1, -58, -5, 14, 8, 30, -29]
[-14, 2, 1, 16, -6, -5, 13, -1]
